id,naziv,urnik_url,insert,narekovaj
1155,Red_24/25_VS_KAIS_2,,,'
1156,Red_24/25_VS_****_2_skupina_30A_1,,,'
1157,Red_24/25_VS_****_2_skupina_30A_2,,,'
1158,Red_24/25_VS_****_2_skupina_30A_3,,,'
1159,Red_24/25_VS_****_2_skupina_30A_4,,,'
1160,Red_24/25_VS_INFS_2_skupina_15A_1,,,'
1161,Red_24/25_VS_INFS_2_skupina_15A_2,,,'
1162,Red_24/25_VS_INFS_2_skupina_15A_3,,,'
1163,Red_24/25_VS_INFS_2_skupina_15A_4,,,'
1164,Red_24/25_VS_IPOS+KAIS_2,,,'
1165,Red_24/25_VS_IPOS+KAIS_2_skupina_1,,,'
1166,Red_24/25_VS_IPOS+KAIS_2_skupina_2,,,'
1167,Red_24/25_VS_IPOS+INFS_2,,,'
1168,Red_24/25_VS_IPOS+INFS_2_skupina_1,,,'
1169,Red_24/25_VS_IPOS+INFS_2_skupina_2,,,'
1170,Red_24/25_VS_IPOS+INFS_2_skupina_3,,,'
1171,Red_24/25_VS_****_3,,,'
1172,Red_24/25_VS_****_3_skupina_1,,,'
1173,Red_24/25_VS_****_3_skupina_2,,,'
1174,Red_24/25_VS_INFS_3,,,'
1175,Red_24/25_VS_IPOS_3,,,'
1176,Red_24/25_VS_KAIS_3,,,'
1177,Red_24/25_VS_INFS_3_skupina_1,,,'
1178,Red_24/25_VS_INFS_3_skupina_2,,,'
1179,Red_24/25_VS_INFS+IPOS_3,,,'
1180,Red_24/25_VS_INFS+IPOS_3_skupina_1,,,'
1181,Red_24/25_VS_INFS+IPOS_3_skupina_2,,,'
1182,Red_24/25_VS_INFS+KAIS_3,,,'
1183,Red_24/25_VS_INFS+KAIS_3_skupina_1,,,'
1184,Red_24/25_VS_INFS+KAIS_3_skupina_2,,,'
1185,Red_24/25_UN_****_1,,,'
1186,Red_24/25_UN_INFS_1,,,'
1187,Red_24/25_UN_IPOS_1,,,'
1188,Red_24/25_UN_KAIS_1,,,'
1189,Red_24/25_UN_****_1_skupina_15A_1,,,'
1190,Red_24/25_UN_****_1_skupina_15A_2,,,'
1191,Red_24/25_UN_****_1_skupina_15A_3,,,'
1192,Red_24/25_UN_****_1_skupina_15A_4,,,'
1193,Red_24/25_UN_****_1_skupina_30B_1,,,'
1194,Red_24/25_UN_****_1_skupina_30B_2,,,'
1195,Red_24/25_UN_IPOS+KAIS_1,,,'
1196,Red_24/25_UN_****_2,,,'
1197,Red_24/25_UN_****_2_skupina_1,,,'
1198,Red_24/25_UN_****_2_skupina_2,,,'
1199,Red_24/25_UN_INFS_2,,,'
1200,Red_24/25_UN_IPOS_2,,,'
1201,Red_24/25_UN_KAIS_2,,,'
1202,Red_24/25_UN_****_3,,,'
1203,Red_24/25_UN_****_3_skupina_1,,,'
1204,Red_24/25_UN_****_3_skupina_2,,,'
1205,Red_24/25_UN_****_3_skupina_3,,,'
1206,Red_24/25_UN_INFS_3,,,'
1207,Red_24/25_UN_IPOS_3,,,'
1208,Red_24/25_UN_KAIS_3,,,'
1209,Red_24/25_UN_INFS+IPOS_3,,,'
1210,Red_24/25_UN_IPOS+KAIS_3,,,'
1211,Red_24/25_MA_***_1,,,'
1212,Red_24/25_MA_***_1_skupina_1,,,'
1213,Red_24/25_MA_***_1_skupina_2,,,'
1214,Red_24/25_MA_INFS_1,,,'
1215,Red_24/25_MA_IPOS_1,,,'
1216,Red_24/25_MA_KAIS_1,,,'
1217,Red_24/25_MA_MZSV_1,,,'
1218,Red_24/25_MA_IPOS+INFS_1,,,'
1219,Red_24/25_MA_INFS_2,,,'
1220,Red_24/25_MA_IPOS_2,,,'
1221,Red_24/25_MA_KAIS_2,,,'
1222,Red_24/25_MA_MZSV_2,,,'
1223,Red_24/25_MA_***_2,,,'
1224,Red_24/25_MA_IPOS+KAIS_2,,,'
1225,Izr_24/25_VS_INFS_1,,,'
1226,Izr_24/25_VS_IPOS_1,,,'
1227,Izr_24/25_VS_KAIS_1,,,'
1228,Izr_24/25_VS_MSPO_1,,,'
1229,Izr_24/25_VS_KRIM_1,,,'
1230,Izr_24/25_VS_***_1,,,'
1231,Izr_24/25_VS_***_2,,,'
1232,Izr_24/25_VS_INFS_2,,,'
1233,Izr_24/25_VS_IPOS_2,,,'
1234,Izr_24/25_VS_KAIS_2,,,'
1235,Izr_24/25_VS_MSPO_2,,,'
1236,Izr_24/25_VS_KRIM_2,,,'
1237,Izr_24/25_VS_IPOS+KAIS_2,,,'
1238,Izr_24/25_VS_IPOS+INFS_2,,,'
1239,Izr_24/25_VS_IPOS+INFS+MSPO_2,,,'
1240,Izr_24/25_VS_INFS_3,,,'
1241,Izr_24/25_VS_IPOS_3,,,'
1242,Izr_24/25_VS_KAIS_3,,,'
1243,Izr_24/25_VS_MSPO_3,,,'
1244,Izr_24/25_VS_KRIM_3,,,'
1245,Izr_24/25_VS_***_3,,,'
1246,Izr_24/25_VS_*****_3,,,'
1247,Izr_24/25_VS_INFS+IPOS_3,,,'
1248,Izr_24/25_VS_INFS+KAIS_3,,,'
1249,Izr_24/25_MA_***_1,,,'
1250,Izr_24/25_MA_INFS_1,,,'
1251,Izr_24/25_MA_IPOS_1,,,'
1252,Izr_24/25_MA_KAIS_1,,,'
1253,Izr_24/25_MA_MSPO_1,,,'
1254,Izr_24/25_MA_KRIM_1,,,'
1255,Izr_24/25_MA_***_2,,,'
1256,Izr_24/25_MA_INFS_2,,,'
1257,Izr_24/25_MA_IPOS_2,,,'
1258,Izr_24/25_MA_KAIS_2,,,'
1259,Izr_24/25_MA_MSPO_2,,,'
1260,Izr_24/25_MA_MZSV_2,,,'
1261,Izr_24/25_MA_IPOS+KAIS_2,,,'
1262,Izr_24/25_MA_****_3,,,'
1263,Izr_24/25_DO_***_1,,,'
1264,Izr_24/25_DO_INFS_1,,,'
1265,Izr_24/25_DO_IPOS_1,,,'
1266,Izr_24/25_DO_KAIS_1,,,'
1267,Izr_24/25_DO_***_2,,,'
