skupina,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:43+00:00,2025-04-01T08:00:00+00:00,2025-04-01T10:30:00+00:00,-1 days +23:30:00,410,V-RaÄunalniÅ¡tvo in informatika-2.a skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:42+00:00,2025-03-10T10:45:00+00:00,2025-03-10T13:15:00+00:00,-1 days +23:30:00,111,P-Osnove statistike-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:39+00:00,2024-10-03T17:00:00+00:00,2024-10-03T19:30:00+00:00,-1 days +23:30:00,111,Konzultacije-Osnove prava - Pred.(tuji Å¡tudenti)-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:40+00:00,2024-10-29T08:00:00+00:00,2024-10-29T10:30:00+00:00,-1 days +23:30:00,111,V-Osnove naravoslovja in tehnologije-2. skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:40+00:00,2024-10-30T17:00:00+00:00,2024-10-30T19:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-Osnove prava-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:44+00:00,2025-04-11T14:15:00+00:00,2025-04-11T16:45:00+00:00,-1 days +23:30:00,413,V-RaÄunalniÅ¡tvo in informatika-2.b skupina-VS-Redni
https://urnik.fov.um.si/Program/calendars/03---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Redni,2024-12-12T11:46:39+00:00,2024-10-17T14:15:00+00:00,2024-10-17T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Osnove prava-VS-Redni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2025-01-08T17:00:00+00:00,2025-01-08T20:15:00+00:00,-1 days +23:30:00,302,P-Kadrovski management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-12-02T17:00:00+00:00,2024-12-02T19:30:00+00:00,-1 days +23:30:00,MS Teams,V-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-19T17:00:00+00:00,2024-11-19T19:30:00+00:00,-1 days +23:30:00,MS Teams,P-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-23T17:00:00+00:00,2024-10-23T19:30:00+00:00,-1 days +23:30:00,MS Teams,P-Osnove prava-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-15T17:00:00+00:00,2024-11-15T21:05:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Organizacija in management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-22T17:00:00+00:00,2024-10-22T20:15:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Osnove prava-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-16T17:00:00+00:00,2024-10-16T20:15:00+00:00,-1 days +23:30:00,MS Teams,P-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:47+00:00,2025-01-16T17:00:00+00:00,2025-01-16T19:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-Kadrovski management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2025-01-06T17:00:00+00:00,2025-01-06T19:30:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-12-16T17:00:00+00:00,2024-12-16T19:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-28T17:00:00+00:00,2024-10-28T19:30:00+00:00,-1 days +23:30:00,MS Teams,V-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-07T17:00:00+00:00,2024-10-07T20:15:00+00:00,-1 days +23:30:00,307,P-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-12-18T17:00:00+00:00,2024-12-18T20:15:00+00:00,-1 days +23:30:00,401,V-RaÄunalniÅ¡tvo in informatika-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-21T17:00:00+00:00,2024-11-21T21:05:00+00:00,-1 days +23:30:00,MS Teams,P-Organizacija in management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-11T17:00:00+00:00,2024-10-11T19:30:00+00:00,-1 days +23:30:00,MS Teams,P-Osnove prava-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2025-01-13T17:00:00+00:00,2025-01-13T19:30:00+00:00,-1 days +23:30:00,MS Teams,P-Kadrovski management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:47+00:00,2025-01-20T17:00:00+00:00,2025-01-20T18:35:00+00:00,-1 days +23:30:00,MS Teams,V-Kadrovski management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-14T17:00:00+00:00,2024-11-14T21:05:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Organizacija in management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-04T17:00:00+00:00,2024-10-04T19:30:00+00:00,-1 days +23:30:00,302,P-Osnove prava-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-18T17:00:00+00:00,2024-11-18T19:30:00+00:00,-1 days +23:30:00,MS Teams,V-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-10-08T17:00:00+00:00,2024-10-08T20:15:00+00:00,-1 days +23:30:00,307,V-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-12T17:00:00+00:00,2024-11-12T19:30:00+00:00,-1 days +23:30:00,MS Teams,P-Osnove matematike v organizacijskih vedah-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-13T17:00:00+00:00,2024-11-13T21:05:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Organizacija in management-VS-Izredni
https://urnik.fov.um.si/Program/calendars/04---1-letnik-VS-Kadrovsko-izobrazevalni-sistemi-Izredni,2024-12-12T11:46:46+00:00,2024-11-08T17:00:00+00:00,2024-11-08T19:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-V-Osnove prava-VS-Izredni
